"Dataset";"#TrainingRelease";"%Training";"%DefectiveInTraining";"%DefectiveInTesting";"Classifier";"Balancing";"FeatureSelection";"Sensitivity";"TP";"FP";"TN";"FN";"Precision";"Recall";"AUC";"Kappa"
"SYNCOPE";"22";"93,46";"19,70";"21,81";"NAIVE_BAYES";"true";"true";"true";"0";"0";"767";"214";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"22";"93,46";"19,70";"21,81";"IBK";"true";"true";"true";"14";"0";"767";"200";"1,000000";"0,065421";"0,532710";"0,098660"
"SYNCOPE";"23";"93,23";"18,60";"23,85";"RANDOM_FOREST";"true";"true";"true";"0";"0";"830";"260";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"23";"93,23";"18,60";"23,85";"NAIVE_BAYES";"true";"true";"true";"14";"0";"830";"246";"1,000000";"0,053846";"0,526923";"0,079758"
"SYNCOPE";"23";"93,23";"18,60";"23,85";"IBK";"true";"true";"true";"14";"13";"817";"246";"0,518519";"0,053846";"0,519092";"0,055156"
"SYNCOPE";"24";"95,11";"17,45";"3,02";"RANDOM_FOREST";"true";"true";"true";"22";"0";"802";"3";"1,000000";"0,880000";"0,940000";"0,934311"
"SYNCOPE";"24";"95,11";"17,45";"3,02";"NAIVE_BAYES";"true";"true";"true";"22";"0";"802";"3";"1,000000";"0,880000";"0,940000";"0,934311"
"SYNCOPE";"24";"95,11";"17,45";"3,02";"IBK";"true";"true";"true";"0";"0";"802";"25";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"25";"91,96";"19,29";"0,54";"RANDOM_FOREST";"true";"true";"true";"0";"60";"1411";"8";"0,000000";"0,000000";"0,479606";"-0,009637"
"SYNCOPE";"25";"91,96";"19,29";"0,54";"NAIVE_BAYES";"true";"true";"true";"1";"35";"1436";"7";"0,027778";"0,125000";"0,550603";"0,036930"
"SYNCOPE";"25";"91,96";"19,29";"0,54";"IBK";"true";"true";"true";"1";"96";"1375";"7";"0,010309";"0,125000";"0,529869";"0,009145"
"SYNCOPE";"26";"93,27";"17,88";"0,08";"RANDOM_FOREST";"true";"true";"true";"0";"46";"1281";"1";"0,000000";"0,000000";"0,482668";"-0,001476"
"SYNCOPE";"26";"93,27";"17,88";"0,08";"NAIVE_BAYES";"true";"true";"true";"0";"13";"1314";"1";"0,000000";"0,000000";"0,495102";"-0,001400"
"SYNCOPE";"26";"93,27";"17,88";"0,08";"IBK";"true";"true";"true";"0";"121";"1206";"1";"0,000000";"0,000000";"0,454408";"-0,001496"
